"","state","year","e85","total","ratio_e85"
"403","Pennsylvania","2014",33,542,6.08856088560886
"404","Rhode Island","2014",0,166,0
"405","South Carolina","2014",71,416,17.0673076923077
"406","South Dakota","2014",82,134,61.1940298507463
"407","Tennessee","2014",66,1138,5.79964850615114
"408","Texas","2014",136,2541,5.35222353404172
"409","Utah","2014",3,270,1.11111111111111
"410","Vermont","2014",1,129,0.775193798449612
"411","Virginia","2014",17,719,2.3643949930459
"412","Washington","2014",21,1632,1.28676470588235
"413","West Virginia","2014",9,127,7.08661417322835
"414","Wisconsin","2014",136,561,24.2424242424242
"415","Wyoming","2014",10,69,14.4927536231884
"416","Total","2014",2840,33805,8.40112409406892
"417","Alabama","2015",31,375,8.26666666666667
"418","Alaska","2015",0,11,0
"419","Arizona","2015",30,1059,2.8328611898017
"420","Arkansas","2015",47,182,25.8241758241758
"421","California","2015",107,11242,0.951787938089308
"422","Colorado","2015",89,921,9.66340933767644
"423","Connecticut","2015",4,542,0.738007380073801
"424","Delaware","2015",1,67,1.49253731343284
"425","District of Columbia","2015",3,246,1.21951219512195
"426","Florida","2015",74,2006,3.6889332003988
"427","Georgia","2015",58,1372,4.22740524781341
"428","Hawaii","2015",3,511,0.587084148727984
"429","Idaho","2015",7,131,5.34351145038168
"430","Illinois","2015",247,1357,18.201915991157
"431","Indiana","2015",194,720,26.9444444444444
"432","Iowa","2015",214,423,50.5910165484634
"433","Kansas","2015",26,640,4.0625
"434","Kentucky","2015",68,224,30.3571428571429
"435","Louisiana","2015",9,162,5.55555555555556
"436","Maine","2015",0,108,0
"437","Maryland","2015",34,940,3.61702127659574
"438","Massachusetts","2015",6,1036,0.579150579150579
"439","Michigan","2015",241,1178,20.4584040747029
"440","Minnesota","2015",289,874,33.0663615560641
"441","Mississippi","2015",3,166,1.80722891566265
"442","Missouri","2015",99,720,13.75
"443","Montana","2015",2,113,1.76991150442478
"444","Nebraska","2015",82,180,45.5555555555556
"445","Nevada","2015",20,376,5.31914893617021
"446","New Hampshire","2015",0,156,0
"447","New Jersey","2015",5,465,1.0752688172043
"448","New Mexico","2015",10,187,5.3475935828877
"449","New York","2015",85,1570,5.4140127388535
"450","North Carolina","2015",26,1113,2.33602875112309
"451","North Dakota","2015",53,86,61.6279069767442
"452","Ohio","2015",136,674,20.1780415430267
"453","Oklahoma","2015",31,362,8.56353591160221
"454","Oregon","2015",8,1205,0.663900414937759
"455","Pennsylvania","2015",37,699,5.29327610872675
"456","Rhode Island","2015",0,197,0
"457","South Carolina","2015",68,493,13.7931034482759
"458","South Dakota","2015",80,129,62.015503875969
